X,Y,W,H
45,30,545,436
306,239,189,94
664,241,93,126
1,113,120,138
105,178,148,209
106,357,41,33
416,217,80,285
158,210,112,51
19,18,772,339
664,212,70,176
28,4,760,589
175,453,604,290
478,227,225,77
368,244,329,225
546,222,229,158
500,278,150,153
603,305,75,178
443,14,37,49
360,57,145,169
49,24,130,184
616,430,41,73
7,23,54,39
153,0,38,85
389,37,146,333
476,379,45,30
256,127,28,44
201,190,33,10
46,207,306,281
190,257,110,71
368,326,85,145
689,363,109,178
331,182,179,138
217,317,72,174
610,321,170,73
586,483,161,105
272,241,170,193
64,81,122,85
73,210,113,193
191,285,397,310
419,183,69,195
128,204,141,108
154,18,132,139
713,502,85,93
460,472,24,123
351,351,91,49
324,404,48,74
314,42,67,109
48,255,64,54
173,0,158,621
171,345,137,18
539,248,116,198
257,81,70,245
438,163,346,354
91,198,64,88
3,302,74,35
3,593,636,205
337,92,115,278
0,403,106,74
127,0,375,310
56,384,48,30
173,450,83,41
286,200,77,42
7,76,356,220
48,181,542,302
380,238,84,74
102,90,70,134
210,276,162,109
405,24,133,125
173,215,53,46
721,520,72,72
132,123,28,16
208,104,135,200
182,379,518,132
25,456,171,104
137,126,614,345
685,153,112,277
406,103,31,51
340,538,74,180
378,50,123,66
26,97,32,60
389,148,99,160
420,66,118,186
278,383,10,34
308,697,145,101
161,127,250,232
4,185,275,405
84,389,67,133
714,375,49,110
130,345,196,78
249,72,346,230
282,405,267,25
84,389,53,28
252,193,72,229
0,1,797,195
0,96,214,244
182,104,329,282
436,217,89,148
76,75,619,373
335,43,262,298
123,89,90,201
165,167,45,56
110,483,141,115
192,424,92,94
114,173,104,80
163,116,211,182
499,206,52,249
85,293,275,168
169,182,425,235
628,274,169,250
365,217,242,125
201,274,300,129
550,340,116,189
161,272,64,96
661,332,46,113
98,321,427,227
158,291,282,276
161,379,162,219
6,210,788,355
719,175,41,58
112,141,226,182
18,372,317,227
65,295,115,173
198,21,402,501
616,138,162,146
145,406,51,60
354,93,94,115
341,254,366,229
344,207,59,217
162,355,126,161
6,41,148,557
317,223,146,89
369,55,140,122
411,31,90,277
622,287,45,150
333,279,224,300
57,224,115,361
387,369,93,126
432,309,64,29
437,237,265,362
17,305,290,355
5,8,785,585
235,326,168,91
426,419,372,179
603,518,94,77
105,0,124,350
435,488,89,97
16,145,290,441
187,195,114,54
509,314,80,124
372,171,90,366
482,0,244,176
225,167,462,261
296,135,500,216
228,470,264,56
0,144,798,349
159,338,60,165
368,288,72,196
202,492,34,57
31,555,205,137
522,334,274,184
365,343,25,59
336,313,96,73
384,317,403,202
513,358,285,138
201,377,34,27
68,339,290,117
304,279,147,212
17,230,41,102
244,302,307,157
0,404,323,163
425,192,10,14
321,163,74,114
361,51,72,96
40,194,265,89
20,422,771,98
458,295,13,26
448,390,21,21
441,508,77,48
122,275,189,241
340,285,99,257
334,413,83,57
551,245,108,100
225,283,258,188
254,256,82,37
423,470,80,61
246,163,221,162
112,119,233,186
291,119,45,25
92,274,17,21
1,375,797,224
21,178,33,36
338,303,404,225
416,448,96,53
340,258,113,105
0,347,796,109
365,406,66,34
193,106,48,99
2,75,112,177
213,208,44,64
305,476,21,21
187,43,292,141
604,335,76,264
349,440,27,24
531,320,188,233
122,328,29,37
417,255,28,84
419,438,153,150
218,171,40,58
288,304,506,294
689,109,12,59
648,281,37,33
223,340,573,257
368,364,281,205
553,396,29,21
458,413,139,88
11,222,692,352
387,531,28,38
32,558,76,41
595,395,18,43
337,500,129,43
200,130,45,65
140,411,10,11
420,273,86,202
683,314,22,66
251,321,26,80
43,436,56,42
463,313,61,172
359,227,22,57
272,91,25,68
210,328,380,177
81,327,177,169
542,279,182,81
555,321,244,112
15,138,17,12
50,211,112,221
56,23,398,257
592,187,36,45
54,19,246,105
546,379,12,17
48,62,180,41
171,322,85,35
258,314,46,35
156,589,25,10
92,96,127,162
0,13,797,509
202,373,163,69
64,531,131,229
197,116,30,34
191,94,474,504
247,80,43,42
517,511,74,18
224,274,86,201
299,318,248,262
413,420,236,165
336,108,53,101
114,206,20,18
164,453,521,120
461,106,18,12
254,282,70,173
247,1,45,48
149,259,34,49
610,192,12,14
8,139,176,159
205,171,187,91
134,530,446,68
160,158,177,109
408,189,67,42
165,42,86,102
392,119,219,209
616,162,68,108
283,257,197,190
224,101,220,204
142,121,156,138
269,3,459,196
500,281,34,51
231,97,67,112
267,127,258,261
234,149,296,449
224,277,172,182
196,480,46,15
391,257,55,58
289,149,76,210
152,18,40,128
247,163,304,180
92,470,209,192
190,82,55,130
281,320,66,97
1,133,242,177
321,183,231,185
273,326,73,30
69,57,163,273
141,261,70,46
169,275,77,50
69,111,262,234
380,106,79,218
35,136,513,184
340,288,333,147
458,367,58,55
12,126,184,270
160,211,100,110
52,56,729,498
46,290,48,48
428,8,64,65
365,274,158,122
0,150,265,116
3,0,492,299
36,37,200,76
365,44,179,291
487,290,81,54
259,128,36,25
18,230,172,165
158,256,101,241
83,111,468,346
180,47,39,41
253,343,19,21
296,289,212,81
8,134,62,84
528,391,188,148
15,69,54,92
51,0,333,185
51,123,131,68
146,207,149,46
544,368,253,176
149,109,107,81
0,15,351,260
154,215,88,177
211,325,76,22
282,368,197,80
270,253,143,204
171,220,40,17
70,127,24,166
314,270,32,85
210,290,166,307
327,536,53,38
356,251,344,192
534,342,52,21
271,120,177,99
258,542,52,27
181,20,188,185
415,57,57,119
185,54,82,228
4,0,369,495
124,385,246,44
229,70,72,195
59,44,522,342
362,22,122,98
78,163,43,62
353,13,28,53
65,198,145,105
74,101,44,193
221,227,13,14
38,8,165,120
112,159,30,25
285,11,190,191
0,98,41,66
46,47,296,113
295,205,61,11
197,13,41,122
195,258,30,37
1,2,495,143
174,8,54,54
506,167,45,86
127,348,128,173
0,114,637,354
63,217,94,54
444,353,123,83
